,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Conceicao Do Araguaia,BR,-8.2578,-49.2647,80.73,78,0,4.61,clear sky
243,Burdur,TR,37.7203,30.2908,83.1,32,40,4.61,light rain
244,Ostrovnoy,RU,68.0531,39.5131,42.01,89,100,20.38,overcast clouds
245,Varenikovskaya,RU,45.1209,37.6417,77.32,34,0,16.42,clear sky
246,Jacareacanga,BR,-6.2222,-57.7528,80.91,83,100,0.0,smoke
247,Emba,KZ,48.8264,58.1442,68.79,22,60,16.15,broken clouds
248,Leeuwarden,NL,53.2014,5.8086,83.98,57,75,8.05,broken clouds
249,Jumla,NP,29.2747,82.1838,64.0,93,98,2.44,overcast clouds
250,Boa Vista,BR,2.8197,-60.6733,82.38,69,20,9.22,few clouds
251,Kargopol,RU,61.5071,38.9456,54.41,64,88,8.75,overcast clouds
252,Porbandar,IN,21.6422,69.6093,82.02,82,100,10.07,light rain
253,Snezhnogorsk,RU,69.1933,33.2531,46.18,78,100,15.73,overcast clouds
254,Ulagan,RU,50.6321,87.9563,43.65,83,62,5.95,broken clouds
255,Varnamo,SE,57.186,14.04,75.76,66,12,1.99,few clouds
256,Saint-Augustin,CA,51.226,-58.6502,59.86,84,95,12.59,overcast clouds
257,Mtambile,TZ,-5.3833,39.7,79.38,68,84,13.29,broken clouds
258,Sisimiut,GL,66.9395,-53.6735,36.57,57,20,5.91,few clouds
259,Vardo,NO,70.3705,31.1107,46.6,81,75,16.11,broken clouds
260,Westerstede,DE,53.25,7.9333,83.12,53,38,7.18,scattered clouds
261,Riyadh,SA,24.6877,46.7219,105.94,7,61,19.15,broken clouds
262,Sainte-Suzanne,RE,-20.9061,55.6089,77.18,72,0,20.71,clear sky
263,Halifax,CA,44.6453,-63.5724,67.89,94,90,4.0,light intensity drizzle
264,Tarquinia,IT,42.2482,11.7553,85.19,62,0,10.29,clear sky
265,Roald,NO,62.5833,6.1333,64.17,88,75,12.66,broken clouds
266,Alenquer,BR,-1.9417,-54.7383,84.54,66,35,4.45,scattered clouds
267,Mezen,RU,65.8522,44.24,44.46,83,93,11.61,overcast clouds
268,Bagula,IN,23.3167,88.65,86.13,71,61,4.27,broken clouds
269,Puerto Baquerizo Moreno,EC,-0.9,-89.6,69.73,86,92,15.68,overcast clouds
270,Luderitz,NA,-26.6481,15.1594,66.9,58,6,13.49,clear sky
271,Awbari,LY,26.5921,12.7805,96.28,20,0,7.25,clear sky
272,Qaqortoq,GL,60.7167,-46.0333,46.9,81,50,6.06,scattered clouds
273,Kidal,ML,18.4411,1.4078,100.81,22,36,12.48,scattered clouds
274,Xuddur,SO,4.1213,43.8894,91.38,30,51,19.37,broken clouds
275,Havoysund,NO,70.9963,24.6622,45.48,74,100,15.41,light rain
276,Maragogi,BR,-9.0122,-35.2225,78.28,77,87,6.91,overcast clouds
277,Dingle,PH,10.9995,122.6711,75.33,91,100,7.65,moderate rain
278,Castrovillari,IT,39.8203,16.2123,82.29,38,26,6.4,scattered clouds
279,Guadalajara,MX,20.6667,-103.3333,62.42,97,75,0.0,broken clouds
280,Vilhena,BR,-12.7406,-60.1458,73.62,78,75,11.5,smoke
281,Mananjary,MG,-21.2167,48.3333,76.66,63,0,11.14,clear sky
282,Aracaju,BR,-10.9111,-37.0717,80.55,61,20,9.22,few clouds
283,Monrovia,LR,6.3005,-10.7969,83.19,73,93,8.5,light rain
284,Iralaya,HN,15.0,-83.2333,77.09,86,87,9.66,overcast clouds
285,Raga,SS,8.4596,25.678,78.82,77,100,1.43,overcast clouds
