City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
110,Torbay,CA,63.88,few clouds,47.6666,-52.7314,Gallows Cove
113,Henderson,US,86.92,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
114,Negombo,LK,82.0,scattered clouds,7.2083,79.8358,Hotel Sunset Beach
117,Kirovskiy,RU,60.1,scattered clouds,45.0917,133.5136,"Uyut, Gostinitsa"
118,Zaidpur,IN,80.67,broken clouds,26.8333,81.3333,LAAL KOTHI ZAIDPUR
121,Trinidad,BO,66.18,light rain,-14.8333,-64.9,Hotel Piesta
122,Faya,SA,84.31,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
124,Chamrajnagar,IN,82.8,overcast clouds,11.9167,76.95,Nijaguna Resort - Near BR Hills & K gudi Wildlife
127,Ajdabiya,LY,82.81,clear sky,30.7554,20.2263,Almadina Hotel
129,Yining,CN,77.27,light rain,29.0361,114.5636,Xiushui Hotel
130,Marystown,CA,63.7,clear sky,47.1666,-55.1483,Marystown Hotel & Convention Centre
134,Kudahuvadhoo,MV,82.72,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
136,Port-Gentil,GA,82.36,broken clouds,-0.7193,8.7815,Fengshui Residence
140,Sao Filipe,CV,79.32,few clouds,14.8961,-24.4956,Hotel Xaguate
142,Jorochito,BO,62.33,overcast clouds,-18.05,-63.4333,Tom´s Hauss
143,Ribeira Grande,PT,73.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
145,Nouakchott,MR,87.73,few clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
146,Kuruman,ZA,81.0,clear sky,-27.4524,23.4325,Cornerstone Guest House
147,Saldanha,ZA,89.65,broken clouds,-33.0117,17.9442,Blue Bay Lodge
148,Lagoa,PT,71.56,overcast clouds,39.05,-27.9833,Casa Das Faias
152,Ponta Do Sol,PT,80.01,broken clouds,32.6667,-17.1,Hotel do Campo
154,Kindia,GN,83.08,overcast clouds,10.0569,-12.8658,LES EAUX DE KILISSI
155,Svetlograd,RU,69.78,scattered clouds,45.3353,42.8547,Ydacha Hotel
156,Solaro,IT,77.72,broken clouds,44.8799,9.1732,Il Covone di Grano
158,Grand Gaube,MU,74.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
159,Nathdwara,IN,77.99,heavy intensity rain,24.9333,73.8167,Hotel Sudarshan
160,Shostka,UA,73.36,few clouds,51.863,33.4698,Premiere Hotel
161,Itupiranga,BR,82.72,scattered clouds,-5.1347,-49.3267,Hotel Panorama
164,Yarada,IN,89.92,broken clouds,17.65,83.2667,Jeevan
165,Pisco,PE,60.85,mist,-13.7,-76.2167,Hotel San Isidro Oficial
166,Oytal,KZ,77.16,clear sky,42.9057,73.2697,Sanatorium Ak-Niet
168,Limburg,NL,82.51,scattered clouds,51.25,6.0,B & B Helena's Hoeve
172,Nantucket,US,73.74,broken clouds,41.2835,-70.0995,Jared Coffin House
173,Altay,CN,66.02,overcast clouds,47.8667,88.1167,Jinqiao Hotel
174,Kruisfontein,ZA,72.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
175,Carnarvon,AU,69.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
176,Oktyabrskoye,RU,62.74,broken clouds,43.0645,44.7417,Prolesok Mini-hotel
179,Vangaindrano,MG,76.6,clear sky,-23.35,47.6,Hotel Fanilo
181,Seda,LV,68.32,broken clouds,57.65,25.75,Nakts mājas
185,Acarau,BR,81.61,overcast clouds,-2.8856,-40.12,castelo pizzaria
187,Kambove,CD,87.53,clear sky,-10.8764,26.5969,Couvant des soeurs catholiques
190,Peniche,PT,78.75,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
191,Kavaratti,IN,82.31,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
192,Axim,GH,82.65,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
193,Aden,YE,89.73,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
195,Melfi,IT,78.4,clear sky,40.9965,15.6514,HOTEL TERME DI RAPOLLA
196,Muros,ES,70.84,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
198,Virginia Beach,US,77.22,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
199,Skegness,GB,77.63,broken clouds,53.1436,0.3363,The Royal Hotel
202,Chokwe,MZ,80.96,broken clouds,-24.5333,32.9833,Complexo Sonho Real
206,Limon,CR,75.09,clear sky,10.0,-83.0333,Hotel Playa Bonita
208,Dzaoudzi,YT,82.29,clear sky,-12.7887,45.2699,Le Rocher
209,Ampanihy,MG,82.54,clear sky,-24.7,44.75,Angora Hotel
212,Bathsheba,BB,83.48,overcast clouds,13.2167,-59.5167,Atlantis Hotel
213,Chotila,IN,78.03,heavy intensity rain,22.4167,71.1833,Hotel Honest
214,Areia Branca,BR,85.42,few clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
216,Balkhash,KZ,66.81,clear sky,46.844,74.9804,Family
219,Tocopilla,CL,61.3,overcast clouds,-22.092,-70.1979,Hotel Galvarino
220,Bashtanka,UA,76.68,clear sky,47.4072,32.4387,Свято Успенський храм ПЦУ
221,Diffa,NE,89.28,overcast clouds,13.3154,12.6113,ProDAF/Diffa
225,Saint-Pierre,RE,76.64,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
228,The Valley,AI,87.66,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
229,Kulhudhuffushi,MV,82.74,broken clouds,6.6221,73.07,Hondaafushi Island Resort
231,Mattawa,US,65.1,scattered clouds,46.7379,-119.9028,Sun & Sand Mobile Home Park
234,Cuzama,MX,77.95,broken clouds,20.7333,-89.3167,"Restaurant Y Hotel ""Santa Maria"""
235,Yurimaguas,PE,72.21,broken clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
236,Hualmay,PE,60.89,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
237,Nikki,BJ,84.0,broken clouds,9.9401,3.2108,Hotel John
238,Prainha,BR,81.25,broken clouds,-1.8,-53.48,Casa Rocha
239,Daman,IN,80.71,overcast clouds,20.4167,72.85,Silver Sands Beach Resort
