City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
90,Tome,-36.6167,-72.95,39.81,85,0,5.44,CL,2021-09-08 08:16:47
91,Olivet,47.8622,1.8991,74.95,61,0,1.01,FR,2021-09-08 08:16:47
92,Cidreira,-30.1811,-50.2056,63.63,91,100,29.91,BR,2021-09-08 08:16:47
93,Balkhash,46.844,74.9804,88.41,18,0,17.9,KZ,2021-09-08 08:16:48
94,Virginia Beach,36.8529,-75.978,75.02,94,1,0.0,US,2021-09-08 08:16:48
95,Nuuk,64.1835,-51.7216,43.41,87,90,4.61,GL,2021-09-08 08:16:48
96,Ghugus,19.9333,79.1333,82.8,77,88,10.04,IN,2021-09-08 08:16:49
97,Adre,13.4667,22.2,81.1,65,43,8.34,TD,2021-09-08 08:16:49
98,Sao Filipe,14.8961,-24.4956,77.99,82,100,12.33,CV,2021-09-08 08:16:49
99,Qasigiannguit,68.8193,-51.1922,30.45,75,21,4.54,GL,2021-09-08 08:16:50
100,Quatre Cocos,-20.2078,57.7625,73.51,59,56,16.42,MU,2021-09-08 08:16:50
101,Praia Da Vitoria,38.7333,-27.0667,68.76,88,40,4.45,PT,2021-09-08 08:16:51
102,Aller,43.1187,-5.5839,60.26,68,15,3.71,ES,2021-09-08 08:16:51
103,Wells,51.2079,-2.649,72.1,75,100,10.38,GB,2021-09-08 08:15:19
104,Torbay,47.6666,-52.7314,60.28,95,20,23.02,CA,2021-09-08 08:16:52
105,Codrington,-38.2667,141.9667,57.42,68,2,10.38,AU,2021-09-08 08:16:52
106,Cockburn Town,21.4612,-71.1419,82.22,73,0,10.6,TC,2021-09-08 08:16:52
107,Manyana,-23.4,21.7167,70.74,10,0,9.15,BW,2021-09-08 08:16:53
108,Kismayo,-0.3582,42.5454,82.0,67,86,17.92,SO,2021-09-08 08:16:53
109,San Lorenzo,-25.3333,-57.5333,70.74,88,90,18.41,PY,2021-09-08 08:12:52
110,Clyde River,70.4692,-68.5914,29.44,81,95,5.55,CA,2021-09-08 08:16:54
111,Yadrin,55.9405,46.2062,53.13,85,100,12.08,RU,2021-09-08 08:16:54
112,Boffa,10.1667,-14.0333,76.21,91,21,3.36,GN,2021-09-08 08:16:54
113,Hendek,40.7994,30.7481,70.12,46,1,4.21,TR,2021-09-08 08:16:55
114,Balkanabat,39.5108,54.3671,84.04,30,0,5.37,TM,2021-09-08 08:16:55
115,Chuy,-33.6971,-53.4616,56.34,95,100,24.79,UY,2021-09-08 08:16:55
116,Diamantino,-14.4086,-56.4461,77.94,52,17,3.53,BR,2021-09-08 08:16:56
117,Carnarvon,-24.8667,113.6333,76.53,45,6,12.1,AU,2021-09-08 08:16:56
118,Koani,-6.1333,39.2833,81.88,62,80,9.44,TZ,2021-09-08 08:16:56
119,Cacheu,12.2706,-16.1658,77.09,89,100,4.34,GW,2021-09-08 08:16:57
120,Muros,42.7762,-9.0603,68.99,92,93,13.24,ES,2021-09-08 08:16:57
121,Neyshabur,36.2133,58.7958,84.38,18,0,3.71,IR,2021-09-08 08:16:57
122,Dingle,10.9995,122.6711,82.13,82,82,10.76,PH,2021-09-08 08:16:58
